samplingFrequency,accuracy,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE,maxNormError
15_minutes,50.03724429877164,23.11440526026095,79.44305566824706,0.21562260694892293,50.03724429877164,0.1358099958452837,0.9060055637813251,0.0041378025671973346,1.5940956530925952
30_minutes,66.64742915849064,34.460131418487194,93.0655967675681,0.2574944638320859,66.64742915849064,0.18440051569016466,0.8687058885050016,0.04630056580846061,1.7221541158543827
45_minutes,83.05585483728157,43.17741730913009,108.9821957955613,0.303121068516817,83.05585483728157,0.23101002215152486,0.8167275621330105,0.058751305378270564,1.468474360488199
1_hour,98.3295831074983,54.81413057624482,124.4818014235207,0.3564453903652195,98.3295831074983,0.281560246031104,0.759804060256757,0.03832662927735342,1.9133653721417554
