datetime,GHI,GHIcs,k,year
2018-12-24 13:00:00,25.695177777777786,228.448389251133,0.11098233101072187,2018
2018-12-24 13:30:00,44.696061111111085,182.80449895405332,0.24808647478935414,2018
2018-12-24 14:00:00,62.56836666666669,129.1059550135366,0.49566198389024074,2018
2018-12-24 14:30:00,55.75562407407407,71.89246585275251,0.7942085515275554,2018
2018-12-24 15:00:00,36.54011538461538,37.006551412576385,0.9916529713741434,2018
2018-12-25 07:30:00,52.56977777777777,31.196483675328743,1.6857917116049401,2018
2018-12-25 08:00:00,86.93618333333329,58.66983704804227,1.4820401603645574,2018
2018-12-25 08:30:00,161.1769777777777,115.50992695286631,1.407140681702744,2018
2018-12-25 09:00:00,211.95308333333327,170.61703243513097,1.2426903699119483,2018
2018-12-25 09:30:00,259.82885555555544,218.47342630481674,1.189213195112317,2018
2018-12-25 10:00:00,182.79144506172847,256.4261523037175,0.7242146745012311,2018
2018-12-25 10:30:00,191.01568333333336,282.98883097609564,0.6715589659893071,2018
2018-12-25 11:00:00,275.0134166666667,297.30327677127553,0.9245975922683581,2018
2018-12-25 11:30:00,362.07592777777785,298.95050847376285,1.211704328151174,2018
2018-12-25 12:00:00,258.9731611111111,287.8838609396212,0.9021350858806487,2018
2018-12-25 12:30:00,251.47950555555548,264.4228813315968,0.953554254338109,2018
2018-12-25 13:00:00,253.96472777777788,229.30104379274914,1.1074631703108428,2018
2018-12-25 13:30:00,212.42774444444447,183.81149939650084,1.1570888950430729,2018
2018-12-25 14:00:00,163.39761481481477,130.21583126730866,1.260321775515152,2018
2018-12-25 14:30:00,113.10613333333333,72.98993129406293,1.5858216890807502,2018
2018-12-25 15:00:00,79.66977976190478,37.43294107322356,2.142269038552321,2018
2018-12-26 07:30:00,14.450714285714286,30.88382036219611,0.467903637543159,2018
2018-12-26 08:00:00,21.006638888888887,58.010380404009105,0.36809307667358204,2018
2018-12-26 08:30:00,44.66053888888888,114.83461714877691,0.3893113123146073,2018
2018-12-26 09:00:00,52.94181111111108,170.04493002830392,0.3143125543511091,2018
2018-12-26 09:30:00,69.51115555555556,218.0597438545526,0.3163152296878013,2018
2018-12-26 10:00:00,98.54099444444454,256.20047687607433,0.38441478206437457,2018
2018-12-26 10:30:00,115.75730555555546,282.9675979725671,0.40968408363245445,2018
2018-12-26 11:00:00,119.48033333333333,297.4943606637382,0.40151607569950476,2018
2018-12-26 11:30:00,139.77177777777774,299.3550749800847,0.4671094043451758,2018
2018-12-26 12:00:00,199.86222777777783,288.4970267475438,0.6937016692331969,2018
2018-12-26 12:30:00,166.6527833333334,265.2335451719698,0.6248863826212321,2018
2018-12-26 13:00:00,127.95302222222227,230.290550054481,0.5543067939587873,2018
2018-12-26 13:30:00,112.0665731481482,184.94951110397963,0.616215475623031,2018
2018-12-26 14:00:00,97.72802777777775,131.44774211672348,0.7328092406272134,2018
2018-12-26 14:30:00,55.80361111111113,74.19421220725401,0.7794638122361236,2018
2018-12-26 15:00:00,43.40861016949152,38.07917745572101,1.13005345159273,2018
2018-12-27 07:30:00,15.1016,30.653243825131863,0.4927131595648807,2018
2018-12-27 08:00:00,19.98607222222223,57.45298655639848,0.36102190027006775,2018
2018-12-27 08:30:00,30.649822222222205,114.28199451986653,0.2689214245962113,2018
2018-12-27 09:00:00,53.40566358024686,169.6058101279198,0.3128720842964055,2018
2018-12-27 09:30:00,83.38636666666665,217.78490936089233,0.3810001654243569,2018
